2025-05-02 10:18:44,102 | INFO     | bot.logging_config | Logging initialised — file: logs/trading_bot.log
2025-05-02 10:18:44,103 | INFO     | __main__ | CLI invoked with args: {'command': 'place', 'verbose': False, 'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 3200.0, 'stop_price': None, 'func': <function cmd_place at 0x7f8a2c3d1a60>}
2025-05-02 10:18:44,104 | INFO     | bot.orders | Order request: {'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 3200.0, 'timeInForce': 'GTC'}
2025-05-02 10:18:44,104 | DEBUG    | bot.client | REQUEST  POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 3200.0, 'timeInForce': 'GTC', 'timestamp': 1746172724104, 'signature': 'b9e1c4d7f2a3865049abcdef0fedcba9876543210fedcba9876543210fedcba9'}
2025-05-02 10:18:44,589 | DEBUG    | bot.client | RESPONSE 200  body={'orderId': 3850301192, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'web_Xm7Ry1Kp4NqZjWsVo8b', 'price': '3200', 'avgPrice': '0.00000', 'origQty': '0.010', 'executedQty': '0', 'cumQty': '0', 'cumQuote': '0', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'updateTime': 1746172724588}
2025-05-02 10:18:44,590 | INFO     | bot.orders | Order placed successfully: orderId=3850301192 status=NEW
2025-05-02 10:18:44,590 | INFO     | bot.orders | Order response: {'orderId': 3850301192, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'web_Xm7Ry1Kp4NqZjWsVo8b', 'price': '3200', 'avgPrice': '0.00000', 'origQty': '0.010', 'executedQty': '0', 'cumQty': '0', 'cumQuote': '0', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'updateTime': 1746172724588}
2025-05-02 10:19:10,003 | INFO     | __main__ | CLI invoked with args: {'command': 'place', 'verbose': False, 'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.001, 'price': None, 'stop_price': 60000.0, 'func': <function cmd_place at 0x7f8a2c3d1a60>}
2025-05-02 10:19:10,004 | INFO     | bot.orders | Order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.001, 'stopPrice': 60000.0}
2025-05-02 10:19:10,004 | DEBUG    | bot.client | REQUEST  POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.001, 'stopPrice': 60000.0, 'timestamp': 1746172750004, 'signature': 'c2f5a8d1e4b7069382abcdef1234567890abcdef1234567890abcdef12345678'}
2025-05-02 10:19:10,451 | DEBUG    | bot.client | RESPONSE 200  body={'orderId': 3850309874, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'web_Zt3Lp6Hn9MrXkQsUi2e', 'price': '0', 'avgPrice': '0', 'origQty': '0.001', 'executedQty': '0', 'cumQty': '0', 'cumQuote': '0', 'timeInForce': 'GTC', 'type': 'STOP_MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '60000', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'STOP_MARKET', 'updateTime': 1746172750450}
2025-05-02 10:19:10,452 | INFO     | bot.orders | Order placed successfully: orderId=3850309874 status=NEW
2025-05-02 10:19:10,452 | INFO     | bot.orders | Order response: {'orderId': 3850309874, 'symbol': 'BTCUSDT', 'status': 'NEW', ...}
2025-05-02 10:22:17,884 | ERROR    | bot.client | API error: Binance API Error -1111: Precision is over the maximum defined for this asset.
2025-05-02 10:22:17,885 | ERROR    | __main__ | API error: Binance API Error -1111: Precision is over the maximum defined for this asset.
